Block Size	Time Taken
91700	2.830951
91800	2.874361
91900	2.980936
92000	2.993772
92100	2.896308
92200	2.901738
92300	2.902589
92400	2.903698
92500	2.910456
92600	2.906541
92700	2.892707
92800	2.942505
92900	2.953448
93000	3.036376
93100	3.068339
93200	3.033495
93300	3.018158
93400	3.075298
93500	3.013507
93600	2.955808
93700	2.963081
93800	2.968178
93900	2.974151
94000	2.976588
94100	3.078964
94200	3.093117
94300	3.157304
94400	3.116595
94500	3.160382
94600	3.073829
94700	3.078178
94800	3.070511
94900	3.045626
95000	3.055649
95100	3.059468
95200	3.066741
95300	3.078514
95400	3.077193
95500	3.082189
95600	3.090537
95700	3.095320
95800	3.104413
95900	3.116508
96000	3.198319
96100	3.147386
96200	3.131262
96300	3.138085
96400	3.140659
96500	3.153821
96600	3.187522
96700	3.278310
96800	3.295400
96900	3.278490
97000	3.194743
97100	3.194484
97200	3.248440
97300	3.309301
97400	3.276770
97500	3.319718
97600	3.334818
97700	3.331923
97800	3.345962
97900	3.356162
98000	3.382813
98100	3.361893
98200	3.398244
98300	3.415061
98400	3.383703
98500	3.358968
98600	3.364719
98700	3.345925
98800	3.474219
98900	3.362746
99000	3.361495
99100	3.321384
99200	3.350311
99300	3.436473
99400	3.336668
99500	3.364305
99600	3.346250
99700	3.350677
99800	3.355179
99900	3.362173
100000	3.370108
