Block Size	Time Taken
19200	0.001166
19300	0.001181
19400	0.001200
19500	0.001169
19600	0.001174
19700	0.001211
19800	0.001216
19900	0.001193
20000	0.001236
20100	0.001205
20200	0.001238
20300	0.001269
20400	0.001211
20500	0.001240
20600	0.001225
20700	0.001259
20800	0.001316
20900	0.001278
21000	0.001285
21100	0.001292
21200	0.001299
21300	0.001339
21400	0.001313
21500	0.001323
21600	0.001355
21700	0.001339
21800	0.001347
21900	0.001314
22000	0.001322
22100	0.001404
22200	0.001357
22300	0.001359
22400	0.001363
22500	0.001365
22600	0.001401
22700	0.001380
22800	0.001383
22900	0.001371
23000	0.001415
23100	0.001415
23200	0.001420
23300	0.001513
23400	0.001434
23500	0.001442
23600	0.001494
23700	0.001464
23800	0.001521
23900	0.001479
24000	0.001526
24100	0.001481
24200	0.001485
24300	0.001489
24400	0.001493
24500	0.001524
24600	0.001503
24700	0.001542
24800	0.001520
24900	0.001557
25000	0.001537
25100	0.001541
25200	0.001549
25300	0.001553
25400	0.001567
25500	0.001566
25600	0.001607
25700	0.001552
25800	0.001646
25900	0.001593
26000	0.001629
26100	0.001605
26200	0.001644
26300	0.001618
26400	0.001652
26500	0.001622
26600	0.001630
26700	0.001635
26800	0.001646
26900	0.001652
27000	0.001659
27100	0.001698
27200	0.001673
27300	0.001713
27400	0.001686
27500	0.001724
27600	0.001699
27700	0.001721
27800	0.001692
27900	0.001757
28000	0.001730
28100	0.001762
28200	0.001736
28300	0.001724
28400	0.001769
28500	0.001744
28600	0.001749
28700	0.001760
28800	0.001793
28900	0.001775
29000	0.001785
29100	0.001791
29200	0.001805
29300	0.001806
29400	0.001844
29500	0.001816
29600	0.001850
29700	0.001831
29800	0.001839
29900	0.001837
30000	0.001875
30100	0.001849
30200	0.001848
30300	0.001892
30400	0.001863
30500	0.001903
30600	0.001870
30700	0.001908
30800	0.001857
30900	0.001925
31000	0.001904
31100	0.001956
31200	0.001978
31300	0.001936
31400	0.001963
31500	0.001936
31600	0.002019
31700	0.001948
31800	0.001987
31900	0.002043
32000	0.001970
32100	0.002009
32200	0.001977
32300	0.002044
32400	0.002050
32500	0.001986
32600	0.002041
32700	0.002028
32800	0.002052
32900	0.002042
33000	0.002049
33100	0.002031
33200	0.002037
33300	0.002106
33400	0.002083
33500	0.002104
33600	0.002143
33700	0.002072
33800	0.002178
33900	0.002136
34000	0.002149
34100	0.002132
34200	0.002106
34300	0.002116
34400	0.002150
34500	0.002137
34600	0.002190
34700	0.002227
34800	0.002145
34900	0.002187
35000	0.002211
35100	0.002170
35200	0.002238
35300	0.002186
35400	0.002219
35500	0.002233
35600	0.002234
35700	0.002212
35800	0.002284
35900	0.002238
36000	0.002274
36100	0.002247
36200	0.002245
36300	0.002299
36400	0.002290
36500	0.002261
36600	0.002300
36700	0.002329
36800	0.002295
36900	0.002309
37000	0.002319
37100	0.002325
37200	0.002337
37300	0.002348
37400	0.002325
37500	0.002334
37600	0.002374
37700	0.002353
37800	0.002386
37900	0.002398
38000	0.002406
38100	0.002377
38200	0.002415
38300	0.002429
38400	0.002436
38500	0.002445
38600	0.002422
38700	0.002484
38800	0.002421
38900	0.002458
39000	0.002472
39100	0.002449
39200	0.002485
39300	0.002492
39400	0.002530
39500	0.002506
39600	0.002513
39700	0.002523
39800	0.002494
39900	0.002529
40000	0.002547
40100	0.002579
40200	0.002525
40300	0.002542
40400	0.002797
40500	0.002622
40600	0.002650
40700	0.002597
40800	0.002588
40900	0.002615
41000	0.002650
41100	0.002587
41200	0.002599
41300	0.002663
41400	0.002636
41500	0.002590
41600	0.002649
41700	0.002686
41800	0.002677
41900	0.002620
42000	0.002632
42100	0.002711
42200	0.002727
42300	0.002698
42400	0.002691
42500	0.002732
42600	0.002759
